GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5010,edu.neu.ccs.cs5010.client,YahtzeeClient,286,48,49,1,61,16,34,3,4,3
Assignment for class CS5010,edu.neu.ccs.cs5010.game,SetOfDice,0,252,1,27,0,46,1,25,0,12
Assignment for class CS5010,edu.neu.ccs.cs5010.game,YahtzeeGame,11,43,4,8,2,13,4,5,1,2
Assignment for class CS5010,edu.neu.ccs.cs5010.game,Player,203,580,21,37,36,87,14,27,1,11
Assignment for class CS5010,edu.neu.ccs.cs5010.game,Dice,0,46,1,3,0,11,1,6,0,5
Assignment for class CS5010,edu.neu.ccs.cs5010.gameutil.scores,YahtzeeScore,0,39,0,6,0,12,0,5,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.gameutil.scores,FivesScore,0,29,0,2,0,7,0,3,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.gameutil.scores,FoursScore,0,29,0,2,0,7,0,3,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.gameutil.scores,FourOfKindScore,0,35,0,4,0,10,0,4,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.gameutil.scores,FullHouseScore,0,68,3,11,0,19,3,6,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.gameutil.scores,LargeStraightScore,0,54,0,8,0,15,0,6,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.gameutil.scores,ThreeOfKindScore,0,35,0,4,0,10,0,4,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.gameutil.scores,AcesScore,0,29,0,2,0,7,0,3,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.gameutil.scores,TwosScore,0,29,0,2,0,7,0,3,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.gameutil.scores,AbstractScore,0,59,0,2,0,13,0,6,0,5
Assignment for class CS5010,edu.neu.ccs.cs5010.gameutil.scores,SixesScore,0,29,0,2,0,7,0,3,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.gameutil.scores,ScoresFactory,0,109,0,26,0,28,0,15,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.gameutil.scores,ChanceScore,0,21,0,2,0,6,0,3,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.gameutil.scores,ThreesScore,0,29,0,2,0,7,0,3,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.gameutil.scores,SmallStraightScore,0,100,0,14,0,26,0,9,0,2
Assignment for class CS5010,edu.neu.ccs.cs5010.exceptions,IllegalScoreChoiceException,4,0,0,0,2,0,1,0,1,0
Assignment for class CS5010,edu.neu.ccs.cs5010.exceptions,IllegalValueException,0,4,0,0,0,2,0,1,0,1
Assignment for class CS5010,edu.neu.ccs.cs5010.server,YahtzeeServer,348,3,36,0,68,2,22,1,4,1
