POST                        GET                         TOTAL     
1540071748   102  5728      1540071748   10   4869      112       
1540071750   4    1103      1540071750   4    274       8         
1540071751   13   3270      1540071751   3    2658      16        
1540071752   26   2317      1540071752   3    431       29        
1540071753   45   1375      1540071753   11   1030      56        
1540071754   50   2112      1540071754   8    781       58        
1540071755   40   1665      1540071755   8    1370      48        
1540071756   57   1429      1540071756   7    977       64        
1540071757   52   1776      1540071757   15   1083      67        
1540071758   73   1717      1540071758   12   941       85        
1540071759   62   999       1540071759   8    1438      70        
1540071760   81   1892      1540071760   1    343       82        
1540071761   82   1639      1540071761   8    3828      90        
1540071762   70   1764      1540071762   6    857       76        
1540071763   78   916       1540071763   11   1298      89        
1540071764   84   837                                   84        
1540071765   82   1336      1540071765   2    118       84        
1540071766   85   1143      1540071766   24   534       109       
1540071767   69   1469      1540071767   20   726       89        
1540071768   89   561       1540071768   15   329       104       
1540071769   108  1247      1540071769   11   1084      119       
1540071770   100  804       1540071770   9    1177      109       
1540071771   131  907       1540071771   10   803       141       
1540071772   118  1083      1540071772   22   324       140       
1540071773   85   1316      1540071773   24   547       109       
1540071774   134  706       1540071774   25   544       159       
1540071775   131  774       1540071775   17   872       148       
1540071776   133  687       1540071776   9    960       142       
1540071777   118  788       1540071777   11   112       129       
1540071778   136  528       1540071778   37   351       173       
1540071779   140  867       1540071779   18   320       158       
1540071780   155  712       1540071780   35   277       190       
1540071781   128  660       1540071781   25   843       153       
1540071782   122  963       1540071782   16   202       138       
1540071783   166  680       1540071783   17   557       183       
1540071784   138  949       1540071784   22   731       160       
1540071785   123  352       1540071785   13   469       136       
1540071786   102  922       1540071786   10   1918      112       
1540071787   152  708       1540071787   5    204       157       
1540071788   147  721       1540071788   4    1541      151       
1540071789   96   822       1540071789   8    1126      104       
1540071790   156  854       1540071790   22   736       178       
1540071791   117  1118      1540071791   10   1214      127       
1540071792   138  827       1540071792   17   121       155       
1540071793   140  913       1540071793   21   582       161       
1540071794   163  613       1540071794   27   635       190       
1540071795   142  441       1540071795   27   406       169       
1540071796   162  451       1540071796   24   112       186       
1540071797   126  625       1540071797   10   1167      136       
1540071798   170  842       1540071798   18   308       188       
1540071799   147  709       1540071799   21   639       168       
1540071800   151  748       1540071800   16   939       167       
1540071801   154  678       1540071801   22   121       176       
1540071802   178  599       1540071802   28   476       206       
1540071803   171  317       1540071803   21   473       192       
1540071804   188  423       1540071804   14   122       202       
1540071805   123  1356      1540071805   14   1176      137       
1540071806   162  345       1540071806   31   354       193       
1540071807   169  908       1540071807   13   778       182       
1540071808   174  836       1540071808   29   580       203       
1540071809   176  406       1540071809   21   159       197       
1540071810   176  503       1540071810   27   383       203       
1540071811   179  342       1540071811   18   515       197       
1540071812   153  681       1540071812   12   631       165       
1540071813   129  548       1540071813   8    1183      137       
1540071814   183  643       1540071814   11   803       194       
1540071815   124  986       1540071815   19   662       143       
1540071816   137  406       1540071816   39   158       176       
1540071817   180  740       1540071817   23   691       203       
