Timestamp/s  Throughput  Mean Latency/ms
1540072061   2132        286       
1540072062   2162        277       
1540072063   2123        332       
1540072064   2099        333       
1540072065   1921        294       
1540072066   2005        283       
1540072067   2161        256       
1540072068   1972        294       
1540072069   2106        274       
1540072070   2172        232       
1540072071   2133        262       
1540072072   2087        263       
1540072073   2111        335       
1540072074   1887        356       
1540072075   1943        319       
1540072076   1922        314       
1540072077   1932        281       
1540072078   1952        292       
1540072079   1586        278       
1540072080   1931        250       
1540072081   2087        243       
1540072082   2046        259       
1540072083   2100        222       
1540072084   2087        291       
1540072085   2015        274       
1540072086   2003        338       
1540072087   1933        382       
1540072088   1952        271       
1540072089   1917        295       
1540072090   1952        263       
1540072091   1954        337       
1540072092   1987        317       
1540072093   2049        262       
1540072094   1893        484       
1540072095   1711        228       
1540072096   1464        262       
1540072097   1448        272       
1540072098   1544        320       
1540072099   1533        284       
1540072100   1590        294       
1540072101   1763        351       
1540072102   1795        254       
1540072103   1790        261       
1540072104   1576        296       
1540072105   1890        254       
1540072106   1917        297       
1540072107   1903        270       
1540072108   2012        246       
1540072109   2020        251       
1540072110   2020        236       
1540072111   1783        292       
1540072112   1545        300       
1540072113   1994        232       
1540072114   2037        260       
1540072115   2011        243       
1540072116   2047        240       
1540072117   1976        222       
1540072118   2118        221       
1540072119   2102        231       
1540072120   1853        272       
1540072121   1641        473       
1540072122   1192        335       
1540072123   1356        295       
1540072124   1503        375       
1540072125   1661        239       
1540072126   1781        274       
1540072127   1891        246       
1540072128   1984        253       
1540072129   2052        244       
1540072130   2115        238       
1540072131   2170        217       
1540072132   2221        235       
1540072133   2214        234       
1540072134   2246        214       
1540072135   2269        206       
1540072136   2402        209       
1540072137   2118        234       
1540072138   2476        206       
1540072139   2411        216       
1540072140   2467        213       
1540072141   2403        213       
1540072142   2368        208       
1540072143   2481        212       
1540072144   2379        212       
1540072145   1867        262       
1540072146   2018        241       
1540072147   2481        224       
1540072148   2396        204       
1540072149   2360        216       
1540072150   2245        232       
1540072151   1913        255       
1540072152   2489        216       
1540072153   2423        213       
1540072154   2551        207       
1540072155   2523        208       
1540072156   2483        191       
1540072157   2675        186       
1540072158   2566        240       
1540072159   1943        476       
1540072160   1747        340       
1540072161   1628        310       
1540072162   1670        251       
1540072163   1726        292       
1540072164   1725        293       
1540072165   1792        241       
1540072166   1655        289       
1540072167   1802        204       
1540072168   2122        205       
1540072169   2019        262       
1540072170   1922        224       
1540072171   2009        254       
1540072172   2262        227       
1540072173   2243        227       
1540072174   2252        233       
1540072175   2263        248       
1540072176   2184        248       
1540072177   2137        238       
1540072178   2308        254       
1540072179   2196        217       
1540072180   2322        204       
1540072181   2200        219       
1540072182   2384        221       
1540072183   2318        214       
1540072184   2322        215       
1540072185   2302        212       
1540072186   1907        252       
1540072187   2497        194       
1540072188   2535        203       
1540072189   2463        230       
1540072190   2522        205       
1540072191   2520        200       
1540072192   2386        230       
1540072193   2103        213       
1540072194   2542        187       
1540072195   2543        200       
1540072196   2593        197       
1540072197   2661        195       
1540072198   2567        201       
1540072199   2643        196       
1540072200   2543        190       
1540072201   2512        204       
1540072202   2545        205       
1540072203   2562        207       
1540072204   2537        213       
1540072205   2050        264       
1540072206   2129        230       
1540072207   1551        407       
1540072208   530         594       
1540072209   1963        247       
1540072210   1916        252       
1540072211   2498        204       
1540072212   2388        217       
1540072213   2331        210       
