POST                        GET                         TOTAL     
1541348499   3    1087      1541348499   14   1224      17        
1541348500   11   230       1541348500   56   93        67        
1541348501   12   360       1541348501   46   277       58        
1541348502   11   130       1541348502   33   336       44        
1541348503   16   142       1541348503   28   164       44        
1541348504   16   377       1541348504   46   263       62        
1541348505   3    114       1541348505   27   561       30        
1541348506   17   242       1541348506   11   327       28        
1541348507   13   159       1541348507   35   446       48        
1541348508   10   259       1541348508   21   255       31        
1541348509   9    501       1541348509   22   357       31        
1541348510   5    318       1541348510   57   136       62        
1541348511   14   225       1541348511   32   280       46        
1541348512   18   129       1541348512   37   324       55        
1541348513   20   380       1541348513   34   245       54        
1541348514   8    157       1541348514   39   348       47        
1541348515   13   129       1541348515   29   178       42        
1541348516   14   146       1541348516   37   214       51        
1541348517   17   149       1541348517   39   200       56        
1541348518   12   832       1541348518   56   174       68        
1541348519   15   120       1541348519   47   217       62        
1541348520   11   173       1541348520   61   209       72        
1541348521   13   167       1541348521   43   188       56        
1541348522   14   126       1541348522   46   163       60        
1541348523   8    318       1541348523   52   209       60        
1541348524   9    275       1541348524   54   148       63        
1541348525   8    136       1541348525   52   185       60        
1541348526   18   142       1541348526   55   191       73        
1541348527   21   132       1541348527   53   79        74        
1541348528   23   141       1541348528   53   238       76        
1541348529   18   150       1541348529   52   130       70        
1541348530   19   166       1541348530   59   157       78        
1541348531   16   184       1541348531   58   165       74        
1541348532   13   205       1541348532   57   158       70        
1541348533   16   189       1541348533   50   343       66        
1541348534   17   183       1541348534   54   180       71        
1541348535   21   136       1541348535   54   100       75        
1541348536   20   135       1541348536   66   138       86        
1541348537   17   192       1541348537   39   203       56        
1541348538   12   226       1541348538   50   206       62        
1541348539   21   158       1541348539   50   172       71        
1541348540   17   150       1541348540   41   187       58        
1541348541   21   600       1541348541   61   725       82        
1541348542   2    10016     1541348542   6    9422      8         
1541348551   2    290       1541348551   10   1811      12        
1541348552   10   627       1541348552   8    641       18        
1541348553   1    2600                                  1         
1541348554   1    305       1541348554   20   486       21        
1541348555   5    1080      1541348555   18   464       23        
1541348556   7    244       1541348556   34   370       41        
1541348557   10   435       1541348557   14   947       24        
1541348558   9    166       1541348558   18   317       27        
1541348559   11   269       1541348559   23   194       34        
1541348560   9    153       1541348560   37   364       46        
1541348561   15   264       1541348561   53   199       68        
1541348562   11   405       1541348562   32   570       43        
1541348563   15   129       1541348563   15   240       30        
1541348564   15   308       1541348564   10   1016      25        
1541348565   10   318       1541348565   36   73        46        
1541348566   7    130       1541348566   46   179       53        
1541348567   9    384       1541348567   48   160       57        
1541348568   6    408       1541348568   65   114       71        
1541348569   11   835       1541348569   56   178       67        
1541348570   7    298       1541348570   54   131       61        
1541348571   11   181       1541348571   58   115       69        
1541348572   27   283       1541348572   87   362       114       
1541348573   53   625       1541348573   23   714       76        
1541348574   42   1100      1541348574   44   920       86        
1541348575   30   754       1541348575   20   1011      50        
1541348576   12   1650      1541348576   7    1796      19        
1541348577   16   449                                   16        
1541348578   31   292       1541348578   11   117       42        
1541348579   21   596       1541348579   27   422       48        
1541348580   16   437       1541348580   34   618       50        
1541348581   19   1066      1541348581   12   1627      31        
1541348582   17   1082      1541348582   8    2699      25        
1541348583   21   1286      1541348583   5    1670      26        
1541348584   21   336       1541348584   17   2027      38        
1541348585   31   286       1541348585   16   669       47        
1541348586   28   850       1541348586   15   1087      43        
1541348587   31   556       1541348587   10   1030      41        
1541348588   29   519       1541348588   9    566       38        
1541348589   26   384       1541348589   20   462       46        
1541348590   26   680       1541348590   18   756       44        
1541348591   33   518       1541348591   18   958       51        
1541348592   40   446       1541348592   17   1173      57        
1541348593   31   608       1541348593   33   172       64        
1541348594   15   451       1541348594   41   247       56        
1541348595   21   399       1541348595   42   486       63        
1541348596   52   495       1541348596   26   392       78        
1541348597   55   200       1541348597   43   159       98        
1541348598   40   624       1541348598   38   567       78        
1541348599   28   987       1541348599   22   663       50        
1541348600   33   133       1541348600   36   260       69        
1541348601   43   299       1541348601   47   262       90        
1541348602   47   452       1541348602   41   321       88        
1541348603   39   270       1541348603   48   317       87        
1541348604   39   246       1541348604   42   183       81        
1541348605   64   220       1541348605   40   215       104       
1541348606   65   257       1541348606   63   349       128       
1541348607   41   516       1541348607   36   359       77        
1541348608   49   406       1541348608   43   261       92        
1541348609   54   202       1541348609   46   175       100       
1541348610   52   472       1541348610   41   323       93        
1541348611   46   330       1541348611   33   339       79        
1541348612   46   198       1541348612   33   224       79        
1541348613   63   298       1541348613   36   258       99        
1541348614   56   332       1541348614   47   171       103       
1541348615   52   231       1541348615   72   140       124       
1541348616   57   201       1541348616   41   225       98        
1541348617   65   278       1541348617   59   231       124       
1541348618   60   176       1541348618   40   153       100       
1541348619   74   164       1541348619   59   177       133       
1541348620   84   211       1541348620   43   291       127       
1541348621   70   170       1541348621   44   163       114       
1541348622   72   182       1541348622   60   188       132       
1541348623   90   248       1541348623   59   170       149       
1541348624   76   169       1541348624   32   195       108       
1541348625   79   156       1541348625   81   87        160       
1541348626   98   124       1541348626   78   114       176       
1541348627   88   152       1541348627   83   108       171       
1541348628   69   242       1541348628   60   217       129       
1541348629   88   109       1541348629   55   105       143       
1541348630   98   133       1541348630   81   82        179       
1541348631   98   122       1541348631   86   101       184       
1541348632   105  128       1541348632   65   156       170       
1541348633   90   171       1541348633   66   119       156       
1541348634   98   173       1541348634   78   98        176       
1541348635   62   172       1541348635   61   249       123       
1541348636   102  133       1541348636   72   108       174       
1541348637   102  122       1541348637   80   95        182       
1541348638   111  156       1541348638   69   132       180       
