1540071748   102  5706      
1540071750   4    1103      
1540071751   13   3268      
1540071752   26   2312      
1540071753   45   1363      
1540071754   50   2101      
1540071755   40   1657      
1540071756   57   1415      
1540071757   52   1763      
1540071758   73   1698      
1540071759   62   987       
1540071760   81   1872      
1540071761   82   1619      
1540071762   70   1745      
1540071763   78   895       
1540071764   84   817       
1540071765   82   1316      
1540071766   85   1121      
1540071767   69   1454      
1540071768   89   542       
1540071769   108  1219      
1540071770   100  779       
1540071771   131  874       
1540071772   118  1053      
1540071773   85   1294      
1540071774   134  673       
1540071775   131  740       
1540071776   133  653       
1540071777   118  756       
1540071778   136  496       
1540071779   140  837       
1540071780   155  676       
1540071781   128  631       
1540071782   122  932       
1540071783   166  641       
1540071784   138  914       
1540071785   123  318       
1540071786   102  898       
1540071787   152  669       
1540071788   147  686       
1540071789   96   800       
1540071790   156  816       
1540071791   117  1092      
1540071792   138  793       
1540071793   140  876       
1540071794   163  574       
1540071795   142  406       
1540071796   162  413       
1540071797   126  595       
1540071798   170  801       
1540071799   147  678       
1540071800   151  711       
1540071801   154  639       
1540071802   178  556       
1540071803   171  278       
1540071804   188  377       
1540071805   123  1322      
1540071806   162  308       
1540071807   169  867       
1540071808   174  793       
1540071809   176  367       
1540071810   176  465       
1540071811   179  294       
1540071812   153  639       
1540071813   129  517       
1540071814   183  595       
1540071815   124  958       
1540071816   137  372       
1540071817   180  694       
1540071818   162  676       
1540071819   179  427       
1540071820   198  379       
1540071821   166  677       
1540071822   66   3452      
1540071823   72   4840      
1540071824   45   773       
1540071825   52   1929      
1540071826   56   1749      
1540071827   68   764       
1540071828   62   1459      
1540071829   70   1644      
1540071830   88   1574      
1540071831   84   2205      
1540071832   83   1131      
1540071833   91   1566      
1540071834   90   1529      
1540071835   67   988       
1540071836   69   515       
1540071837   72   357       
1540071838   77   417       
1540071839   79   991       
1540071840   93   556       
1540071841   104  697       
1540071842   107  417       
1540071843   125  500       
1540071844   136  462       
1540071845   153  505       
1540071846   156  802       
1540071847   172  769       
1540071848   177  744       
1540071849   188  523       
1540071850   176  301       
1540071851   171  410       
1540071852   148  335       
1540071853   201  431       
1540071854   209  996       
1540071855   210  993       
1540071856   232  552       
1540071857   232  625       
1540071858   223  631       
