POST                        GET                         TOTAL     
1540071880   199  475       1540071880   19   395       218       
1540071881   191  1123      1540071881   25   1678      216       
1540071882   175  254       1540071882   17   187       192       
1540071883   168  242       1540071883   16   117       184       
1540071884   172  262       1540071884   21   192       193       
1540071885   199  398       1540071885   22   280       221       
1540071886   202  547       1540071886   44   227       246       
1540071887   207  393       1540071887   45   172       252       
1540071888   225  238       1540071888   32   190       257       
1540071889   269  212       1540071889   40   152       309       
1540071890   282  248       1540071890   45   163       327       
1540071891   304  283       1540071891   40   167       344       
1540071892   323  198       1540071892   53   142       376       
1540071893   334  185       1540071893   57   133       391       
1540071894   354  178       1540071894   54   219       408       
1540071895   346  155       1540071895   41   133       387       
1540071896   349  190       1540071896   62   122       411       
1540071897   348  250       1540071897   61   275       409       
1540071898   364  141       1540071898   56   91        420       
1540071899   356  169       1540071899   38   369       394       
1540071900   351  121       1540071900   18   429       369       
1540071901   369  139       1540071901   34   96        403       
1540071902   351  130       1540071902   43   103       394       
1540071903   379  196       1540071903   65   148       444       
1540071904   381  131       1540071904   58   175       439       
1540071905   379  170       1540071905   63   179       442       
1540071906   397  122       1540071906   58   84        455       
1540071907   403  154       1540071907   77   115       480       
1540071908   412  125       1540071908   96   73        508       
1540071909   441  135       1540071909   81   125       522       
1540071910   419  124       1540071910   69   181       488       
1540071911   433  128       1540071911   50   118       483       
1540071912   453  118       1540071912   56   204       509       
1540071913   450  125       1540071913   65   184       515       
1540071914   463  166       1540071914   59   88        522       
1540071915   370  248       1540071915   54   320       424       
1540071916   302  399       1540071916   46   118       348       
1540071917   261  380       1540071917   58   119       319       
1540071918   273  225       1540071918   40   409       313       
1540071919   289  206       1540071919   42   278       331       
1540071920   274  241       1540071920   33   216       307       
1540071921   292  131       1540071921   30   240       322       
1540071922   313  235       1540071922   24   121       337       
1540071923   297  190       1540071923   54   200       351       
1540071924   365  179       1540071924   36   219       401       
1540071925   368  139       1540071925   67   110       435       
1540071926   412  138       1540071926   75   147       487       
1540071927   395  157       1540071927   65   106       460       
1540071928   415  129       1540071928   77   131       492       
1540071929   431  123       1540071929   82   99        513       
1540071930   419  122       1540071930   76   124       495       
1540071931   450  119       1540071931   73   94        523       
1540071932   443  130       1540071932   81   86        524       
1540071933   479  118       1540071933   78   111       557       
1540071934   464  122       1540071934   77   144       541       
1540071935   486  118       1540071935   71   113       557       
1540071936   443  132       1540071936   70   150       513       
1540071937   409  157       1540071937   77   81        486       
1540071938   413  124       1540071938   86   83        499       
1540071939   426  123       1540071939   73   183       499       
1540071940   398  161       1540071940   33   590       431       
1540071941   391  149       1540071941   32   160       423       
1540071942   372  156       1540071942   42   155       414       
1540071943   409  145       1540071943   57   109       466       
1540071944   356  153       1540071944   65   116       421       
1540071945   395  141       1540071945   53   214       448       
1540071946   393  142       1540071946   50   262       443       
1540071947   397  152       1540071947   39   304       436       
1540071948   406  146       1540071948   29   187       435       
1540071949   434  130       1540071949   53   118       487       
1540071950   428  128       1540071950   67   145       495       
1540071951   435  123       1540071951   75   104       510       
1540071952   444  141       1540071952   57   162       501       
1540071953   418  132       1540071953   61   209       479       
1540071954   384  122       1540071954   56   97        440       
1540071955   413  120       1540071955   62   113       475       
1540071956   417  132       1540071956   81   104       498       
1540071957   419  125       1540071957   69   126       488       
1540071958   459  114       1540071958   83   96        542       
1540071959   468  118       1540071959   76   107       544       
1540071960   494  128       1540071960   80   184       574       
1540071961   484  122       1540071961   58   167       542       
1540071962   472  115       1540071962   63   89        535       
1540071963   478  122       1540071963   61   166       539       
1540071964   481  119       1540071964   63   102       544       
1540071965   504  115       1540071965   76   96        580       
1540071966   486  119       1540071966   73   144       559       
1540071967   480  115       1540071967   77   97        557       
1540071968   489  117       1540071968   81   117       570       
1540071969   499  115       1540071969   75   93        574       
1540071970   492  121       1540071970   76   151       568       
1540071971   487  122       1540071971   66   144       553       
1540071972   467  119       1540071972   58   134       525       
1540071973   461  118       1540071973   59   126       520       
1540071974   524  116       1540071974   85   87        609       
1540071975   516  113       1540071975   81   92        597       
1540071976   531  120       1540071976   99   79        630       
1540071977   503  122       1540071977   75   205       578       
1540071978   385  279       1540071978   37   240       422       
1540071979   438  115       1540071979   51   123       489       
1540071980   455  115       1540071980   66   108       521       
1540071981   435  169       1540071981   76   104       511       
1540071982   449  122       1540071982   76   224       525       
1540071983   458  114       1540071983   73   101       531       
1540071984   450  120       1540071984   81   89        531       
1540071985   458  115       1540071985   81   85        539       
1540071986   479  122       1540071986   79   93        558       
1540071987   393  449       1540071987   58   469       451       
1540071988   381  108       1540071988   44   77        425       
1540071989   384  108       1540071989   43   92        427       
1540071990   426  107       1540071990   47   78        473       
1540071991   487  108       1540071991   56   74        543       
1540071992   538  112       1540071992   92   75        630       
1540071993   572  110       1540071993   94   84        666       
1540071994   568  109       1540071994   92   77        660       
1540071995   579  111       1540071995   92   79        671       
1540071996   586  110       1540071996   96   72        682       
1540071997   596  110       1540071997   93   78        689       
1540071998   606  111       1540071998   75   80        681       
1540071999   607  110       1540071999   70   86        677       
1540072000   578  118       1540072000   60   110       638       
1540072001   606  109       1540072001   63   74        669       
1540072002   593  110       1540072002   45   100       638       
1540072003   597  112       1540072003   50   83        647       
1540072004   604  108       1540072004   34   84        638       
1540072005   622  107       1540072005   33   79        655       
1540072006   611  114       1540072006   25   110       636       
1540072007   581  110       1540072007   30   96        611       
1540072008   568  111       1540072008   28   98        596       
1540072009   525  110       1540072009   26   113       551       
1540072010   522  112       1540072010   14   81        536       
1540072011   532  110       1540072011   18   109       550       
1540072012   543  108       1540072012   17   101       560       
1540072013   587  109       1540072013   10   119       597       
1540072014   584  108       1540072014   8    91        592       
1540072015   600  109       1540072015   11   94        611       
1540072016   599  107       1540072016   11   87        610       
1540072017   634  107       1540072017   12   82        646       
1540072018   639  108       1540072018   7    97        646       
1540072019   643  108                                   643       
1540072020   633  108                                   633       
1540072021   629  109                                   629       
1540072022   594  111                                   594       
1540072023   624  108                                   624       
1540072024   623  107                                   623       
1540072025   598  113                                   598       
1540072026   619  107                                   619       
1540072027   651  110                                   651       
1540072028   635  110                                   635       
1540072029   606  113                                   606       
1540072030   539  111                                   539       
1540072031   599  111                                   599       
1540072032   481  137                                   481       
1540072033   413  159                                   413       
1540072034   433  141                                   433       
1540072035   560  111                                   560       
1540072036   599  108                                   599       
1540072037   625  108                                   625       
1540072038   612  107                                   612       
1540072039   644  109                                   644       
1540072040   1096 423       1540072040   11   1074      1107      
1540072041   950  957       1540072041   27   505       977       
1540072042   882  200       1540072042   24   434       906       
1540072043   993  208       1540072043   23   339       1016      
1540072044   1070 128       1540072044   14   937       1084      
1540072045   1152 140       1540072045   19   178       1171      
1540072046   1258 131       1540072046   27   203       1285      
1540072047   1346 128       1540072047   34   380       1380      
1540072048   1396 135       1540072048   45   207       1441      
1540072049   1514 122       1540072049   44   323       1558      
1540072050   1607 127       1540072050   27   317       1634      
1540072051   1589 126       1540072051   30   452       1619      
1540072052   1613 117       1540072052   35   183       1648      
1540072053   1582 115       1540072053   37   286       1619      
1540072054   1742 120       1540072054   39   143       1781      
1540072055   1766 119       1540072055   50   126       1816      
1540072056   1902 113       1540072056   55   153       1957      
1540072057   1891 113       1540072057   58   253       1949      
1540072058   1985 110       1540072058   44   164       2029      
1540072059   2058 116       1540072059   49   143       2107      
1540072060   2007 115       1540072060   36   417       2043      
1540072061   2132 114       1540072061   34   264       2166      
1540072062   2162 125       1540072062   34   144       2196      
1540072063   2123 115       1540072063   43   154       2166      
1540072064   2099 123       1540072064   61   165       2160      
1540072065   1921 120       1540072065   44   175       1965      
1540072066   2005 120       1540072066   64   125       2069      
1540072067   2161 115       1540072067   71   191       2232      
1540072068   1972 120       1540072068   59   238       2031      
1540072069   2106 116       1540072069   69   111       2175      
1540072070   2172 111       1540072070   57   112       2229      
1540072071   2133 113       1540072071   62   318       2195      
1540072072   2087 113       1540072072   34   189       2121      
1540072073   2111 128       1540072073   39   301       2150      
1540072074   1887 122       1540072074   37   332       1924      
1540072075   1943 123       1540072075   44   231       1987      
1540072076   1922 122       1540072076   47   146       1969      
1540072077   1932 120       1540072077   29   324       1961      
1540072078   1952 121       1540072078   29   405       1981      
1540072079   1586 128       1540072079   19   178       1605      
1540072080   1931 122       1540072080   41   121       1972      
1540072081   2087 112       1540072081   62   119       2149      
1540072082   2046 114       1540072082   58   337       2104      
1540072083   2100 112       1540072083   56   247       2156      
1540072084   2087 116       1540072084   34   541       2121      
1540072085   2015 118       1540072085   29   93        2044      
1540072086   2003 127       1540072086   24   569       2027      
1540072087   1933 122       1540072087   15   159       1948      
1540072088   1952 116       1540072088   31   108       1983      
1540072089   1917 124       1540072089   43   328       1960      
1540072090   1952 117       1540072090   54   198       2006      
1540072091   1954 145       1540072091   54   162       2008      
1540072092   1987 144       1540072092   48   200       2035      
1540072093   2049 120       1540072093   36   102       2085      
1540072094   1893 123       1540072094   36   345       1929      
1540072095   1711 120       1540072095   60   638       1771      
1540072096   1464 146       1540072096   40   142       1504      
1540072097   1448 134       1540072097   29   325       1477      
1540072098   1544 172       1540072098   24   340       1568      
1540072099   1533 137       1540072099   25   154       1558      
1540072100   1590 142       1540072100   39   142       1629      
1540072101   1763 175       1540072101   42   745       1805      
1540072102   1795 143       1540072102   45   120       1840      
1540072103   1790 133       1540072103   52   157       1842      
1540072104   1576 141       1540072104   37   211       1613      
1540072105   1890 118       1540072105   43   155       1933      
1540072106   1917 130       1540072106   50   147       1967      
1540072107   1903 117       1540072107   61   114       1964      
1540072108   2012 111       1540072108   53   185       2065      
1540072109   2020 116       1540072109   53   116       2073      
1540072110   2020 121       1540072110   52   161       2072      
1540072111   1783 132       1540072111   41   165       1824      
1540072112   1545 119       1540072112   36   186       1581      
1540072113   1994 113       1540072113   64   105       2058      
1540072114   2037 117       1540072114   59   120       2096      
1540072115   2011 114       1540072115   58   119       2069      
1540072116   2047 113       1540072116   65   130       2112      
1540072117   1976 114       1540072117   58   105       2034      
1540072118   2118 114       1540072118   57   126       2175      
1540072119   2102 112       1540072119   61   125       2163      
1540072120   1853 116       1540072120   55   206       1908      
1540072121   1641 122       1540072121   36   156       1677      
1540072122   1192 115       1540072122   45   109       1237      
1540072123   1356 109       1540072123   58   157       1414      
1540072124   1503 112       1540072124   46   367       1549      
1540072125   1661 108       1540072125   42   149       1703      
1540072126   1781 114       1540072126   46   133       1827      
1540072127   1891 108       1540072127   68   97        1959      
1540072128   1984 108       1540072128   63   173       2047      
1540072129   2052 112       1540072129   74   122       2126      
1540072130   2115 110       1540072130   46   247       2161      
1540072131   2170 109       1540072131   51   196       2221      
1540072132   2221 108       1540072132   37   138       2258      
1540072133   2214 111       1540072133   60   157       2274      
1540072134   2246 104       1540072134   67   111       2313      
1540072135   2269 108       1540072135   84   92        2353      
1540072136   2402 105       1540072136   81   121       2483      
1540072137   2118 108       1540072137   68   121       2186      
1540072138   2476 104       1540072138   78   99        2554      
1540072139   2411 109       1540072139   78   119       2489      
1540072140   2467 109       1540072140   80   149       2547      
1540072141   2403 109       1540072141   65   123       2468      
1540072142   2368 111       1540072142   57   159       2425      
1540072143   2481 108       1540072143   62   126       2543      
1540072144   2379 109       1540072144   75   106       2454      
1540072145   1867 112       1540072145   53   155       1920      
1540072146   2018 127       1540072146   57   157       2075      
1540072147   2481 108       1540072147   82   109       2563      
1540072148   2396 110       1540072148   79   98        2475      
1540072149   2360 107       1540072149   78   114       2438      
1540072150   2245 110       1540072150   71   123       2316      
1540072151   1913 151       1540072151   49   199       1962      
1540072152   2489 116       1540072152   74   116       2563      
1540072153   2423 111       1540072153   81   110       2504      
1540072154   2551 110       1540072154   74   158       2625      
1540072155   2523 105       1540072155   73   110       2596      
1540072156   2483 104       1540072156   63   130       2546      
1540072157   2675 106       1540072157   83   81        2758      
1540072158   2566 110       1540072158   78   219       2644      
1540072159   1943 112       1540072159   36   235       1979      
