1540071748   10   4869      
1540071750   4    274       
1540071751   3    2658      
1540071752   3    431       
1540071753   11   1030      
1540071754   8    781       
1540071755   8    1370      
1540071756   7    977       
1540071757   15   1083      
1540071758   12   941       
1540071759   8    1438      
1540071760   1    343       
1540071761   8    3828      
1540071762   6    857       
1540071763   11   1298      
1540071765   2    118       
1540071766   24   534       
1540071767   20   726       
1540071768   15   329       
1540071769   11   1084      
1540071770   9    1177      
1540071771   10   803       
1540071772   22   324       
1540071773   24   547       
1540071774   25   544       
1540071775   17   872       
1540071776   9    960       
1540071777   11   112       
1540071778   37   351       
1540071779   18   320       
1540071780   35   277       
1540071781   25   843       
1540071782   16   202       
1540071783   17   557       
1540071784   22   731       
1540071785   13   469       
1540071786   10   1918      
1540071787   5    204       
1540071788   4    1541      
1540071789   8    1126      
1540071790   22   736       
1540071791   10   1214      
1540071792   17   121       
1540071793   21   582       
1540071794   27   635       
1540071795   27   406       
1540071796   24   112       
1540071797   10   1167      
1540071798   18   308       
1540071799   21   639       
1540071800   16   939       
1540071801   22   121       
1540071802   28   476       
1540071803   21   473       
1540071804   14   122       
1540071805   14   1176      
1540071806   31   354       
1540071807   13   778       
1540071808   29   580       
1540071809   21   159       
1540071810   27   383       
1540071811   18   515       
1540071812   12   631       
1540071813   8    1183      
1540071814   11   803       
1540071815   19   662       
1540071816   39   158       
1540071817   23   691       
1540071818   16   314       
1540071819   61   173       
1540071820   31   312       
1540071821   22   312       
1540071822   10   3208      
1540071823   8    4765      
1540071825   2    77        
1540071826   9    712       
1540071827   3    3331      
1540071828   18   677       
1540071829   12   1797      
1540071830   10   2040      
1540071831   5    85        
1540071832   4    2508      
1540071833   8    1270      
1540071834   7    2955      
1540071837   6    1390      
1540071838   3    93        
1540071839   22   103       
1540071840   17   1131      
1540071841   10   300       
1540071842   11   315       
1540071843   8    723       
1540071844   27   277       
1540071845   21   339       
1540071846   32   364       
1540071847   31   768       
1540071848   15   504       
1540071849   28   309       
1540071850   21   651       
1540071851   19   406       
1540071852   14   351       
1540071853   14   514       
1540071854   22   1953      
1540071855   2    10258     
1540071856   15   783       
1540071857   14   839       
1540071858   27   110       
1540071859   24   931       
1540071860   10   95        
1540071861   12   85        
1540071862   12   92        
